sleep_hours,stress_level,mental_health_rating,exercise_frequency,social_activity,exam_score,health_score,health_category
8.2,7.7,7.2,5,0,100,0.52,Medium
4.6,6.6,7.2,0,1,65,0.32,Low
6.6,4.5,6.3,1,3,79,0.45,Medium
6.6,3.4,7.1,6,3,100,0.63,Medium
9.9,4.7,6.9,4,3,97,0.64,Medium
6.4,7.0,4.8,6,0,96,0.41,Medium
7.5,3.6,8.2,4,5,97,0.66,Medium
7.3,4.1,8.4,3,1,91,0.6,Medium
5.0,8.6,5.8,3,1,100,0.29,Low
7.8,6.5,5.1,3,2,69,0.42,Medium
5.4,6.7,5.9,3,5,70,0.39,Medium
8.8,5.5,7.7,5,3,100,0.64,Medium
8.5,3.5,8.4,1,1,83,0.6,Medium
7.1,5.2,5.6,2,1,85,0.42,Medium
9.2,5.4,8.4,1,5,98,0.6,Medium
8.3,5.6,8.6,7,5,100,0.72,High
6.8,4.6,6.1,3,3,100,0.49,Medium
5.4,9.8,7.9,3,5,100,0.39,Medium
6.8,3.8,6.1,3,2,100,0.5,Medium
7.2,3.5,5.3,2,2,86,0.47,Medium
8.4,5.6,7.9,4,1,98,0.59,Medium
6.7,4.5,9.3,3,3,82,0.62,Medium
8.7,4.3,6.9,3,0,100,0.57,Medium
7.9,3.4,6.9,3,5,57,0.61,Medium
7.1,6.6,6.3,1,0,87,0.38,Medium
8.5,8.1,6.0,5,3,100,0.49,Medium
5.0,4.3,6.3,3,2,75,0.44,Medium
4.9,2.6,3.6,3,4,100,0.39,Medium
5.9,2.7,6.7,5,1,100,0.57,Medium
6.8,1.6,5.5,2,4,98,0.53,Medium
4.7,4.0,6.7,5,1,83,0.5,Medium
5.8,4.8,7.2,3,5,100,0.51,Medium
7.4,6.8,7.5,6,2,97,0.57,Medium
4.3,1.7,6.2,1,1,98,0.43,Medium
6.0,4.4,7.2,5,3,90,0.56,Medium
7.3,2.5,6.1,6,0,77,0.61,Medium
7.0,6.5,4.7,1,5,97,0.36,Medium
7.6,3.5,5.8,5,5,98,0.6,Medium
7.5,2.1,4.1,0,2,100,0.42,Medium
6.7,4.2,8.0,7,5,100,0.68,High
8.9,6.4,5.8,3,0,71,0.47,Medium
8.2,5.2,5.9,4,4,97,0.54,Medium
6.4,3.7,5.0,5,1,71,0.49,Medium
7.9,5.8,9.8,1,5,96,0.61,Medium
4.6,3.6,8.7,1,2,100,0.5,Medium
7.6,6.8,4.9,0,0,84,0.31,Low
8.0,6.8,5.3,1,5,78,0.4,Medium
7.6,3.2,6.4,5,1,93,0.6,Medium
6.8,7.4,6.6,1,1,100,0.37,Medium
6.1,7.8,3.4,3,5,95,0.29,Low
7.9,2.0,9.2,1,5,100,0.69,High
10.0,4.9,6.3,5,0,97,0.62,Medium
7.4,2.1,5.9,1,3,78,0.52,Medium
6.8,4.5,7.8,6,0,97,0.61,Medium
7.1,3.8,8.3,0,0,75,0.51,Medium
6.4,7.1,7.3,1,4,60,0.42,Medium
8.1,4.4,8.6,7,1,93,0.72,High
6.2,7.4,5.0,2,4,93,0.33,Low
7.0,4.9,10.0,6,2,96,0.71,High
10.5,6.6,10.0,7,5,99,0.82,High
6.7,9.1,8.4,7,3,89,0.55,Medium
8.3,6.2,8.9,4,1,100,0.61,Medium
7.3,3.6,8.7,1,4,100,0.6,Medium
6.2,5.6,7.2,2,5,91,0.48,Medium
6.4,1.1,7.8,3,2,98,0.63,Medium
5.7,6.2,10.0,0,4,77,0.5,Medium
7.3,3.9,9.5,6,0,87,0.71,High
7.8,6.7,5.5,1,2,96,0.38,Medium
5.9,3.2,7.6,2,1,82,0.52,Medium
9.1,7.7,6.1,0,4,100,0.41,Medium
6.1,4.8,4.2,2,3,65,0.36,Medium
9.2,4.1,6.5,3,1,100,0.58,Medium
4.0,5.7,6.8,4,4,100,0.43,Medium
7.3,4.6,4.6,5,0,100,0.47,Medium
6.1,8.2,4.1,5,1,91,0.32,Low
7.3,5.3,6.0,1,2,78,0.43,Medium
6.8,5.9,7.4,2,0,100,0.46,Medium
8.9,6.6,7.5,0,2,84,0.48,Medium
6.7,3.4,9.3,7,2,100,0.74,High
6.1,4.8,5.1,5,2,80,0.46,Medium
4.9,6.2,5.3,5,4,77,0.41,Medium
8.4,2.3,8.0,4,2,74,0.7,High
8.0,7.4,8.0,5,5,100,0.59,Medium
6.0,8.3,3.9,0,5,100,0.22,Low
7.0,6.4,9.8,3,1,98,0.58,Medium
7.4,3.1,7.7,3,2,100,0.61,Medium
6.6,3.6,6.1,5,1,93,0.54,Medium
7.7,5.6,5.7,7,1,68,0.55,Medium
6.1,6.3,6.0,7,5,82,0.53,Medium
5.3,4.9,3.8,6,1,100,0.4,Medium
4.4,10.0,3.2,3,5,65,0.16,Low
7.4,6.1,4.4,4,4,94,0.43,Medium
7.5,6.0,7.5,4,3,93,0.55,Medium
7.7,7.3,7.0,5,5,83,0.54,Medium
8.7,7.1,7.7,4,4,96,0.58,Medium
6.9,7.1,6.8,4,1,88,0.46,Medium
7.4,4.1,6.3,1,5,81,0.5,Medium
6.8,2.8,9.8,0,5,84,0.63,Medium
6.6,6.3,8.2,4,0,96,0.52,Medium
4.2,5.6,7.5,4,4,95,0.47,Medium
8.4,4.2,8.9,5,5,96,0.73,High
7.4,4.5,6.5,0,2,79,0.45,Medium
6.0,5.6,7.4,5,2,97,0.53,Medium
9.1,9.1,8.5,5,3,86,0.58,Medium
8.3,3.7,4.8,0,1,100,0.42,Medium
4.0,1.0,5.5,3,4,100,0.49,Medium
7.7,4.8,6.1,5,3,100,0.56,Medium
4.0,5.1,3.2,1,1,96,0.21,Low
6.2,4.6,10.0,5,3,71,0.67,High
11.3,6.5,8.2,7,0,80,0.74,High
8.8,3.7,9.4,4,1,100,0.72,High
7.1,6.9,5.1,0,1,85,0.31,Low
8.4,3.8,7.2,1,1,77,0.54,Medium
8.7,3.3,8.5,1,1,69,0.62,Medium
4.9,5.3,4.8,0,1,58,0.27,Low
5.2,6.7,6.0,3,5,81,0.39,Medium
7.2,3.9,8.3,5,5,100,0.67,High
5.0,5.9,7.9,1,3,100,0.42,Medium
9.1,5.6,4.4,4,5,77,0.51,Medium
5.8,1.6,8.8,3,5,88,0.67,Medium
7.8,10.0,6.0,6,5,76,0.46,Medium
7.6,3.6,6.5,4,2,91,0.58,Medium
6.0,4.3,6.7,4,4,100,0.53,Medium
7.1,1.0,5.7,3,2,95,0.58,Medium
9.4,3.6,3.5,2,2,74,0.47,Medium
7.5,4.4,4.5,2,5,93,0.45,Medium
5.5,5.7,7.2,5,0,64,0.49,Medium
7.0,4.5,5.3,4,4,89,0.5,Medium
7.3,4.2,8.6,3,3,92,0.62,Medium
6.5,5.8,5.9,0,4,67,0.38,Medium
8.8,7.0,8.9,0,1,79,0.51,Medium
8.1,4.4,3.1,4,2,99,0.43,Medium
6.9,4.6,4.2,4,0,90,0.42,Medium
5.8,4.6,6.4,2,4,75,0.45,Medium
7.9,6.4,7.7,5,1,100,0.57,Medium
6.7,1.2,7.2,2,3,100,0.6,Medium
8.0,4.2,6.0,4,3,70,0.56,Medium
7.1,4.1,9.5,3,2,92,0.64,Medium
7.2,4.2,4.6,0,5,100,0.4,Medium
9.4,5.9,5.7,0,5,82,0.46,Medium
8.6,2.9,6.0,1,3,99,0.54,Medium
9.4,6.7,7.1,3,1,77,0.54,Medium
5.7,4.1,9.2,0,1,74,0.5,Medium
8.2,6.3,6.4,6,0,100,0.55,Medium
7.9,4.2,7.9,2,4,88,0.59,Medium
7.2,4.9,4.7,2,1,76,0.4,Medium
8.8,3.8,8.3,2,3,100,0.64,Medium
6.7,4.0,6.9,2,3,95,0.51,Medium
6.3,5.5,4.9,0,0,97,0.31,Low
7.4,6.5,3.6,1,2,97,0.3,Low
8.0,6.2,6.1,6,0,100,0.53,Medium
8.6,2.5,5.2,7,1,100,0.65,Medium
4.6,2.4,4.9,7,4,82,0.54,Medium
6.3,2.2,7.3,5,3,91,0.64,Medium
9.3,3.6,8.2,4,5,88,0.72,High
7.1,6.0,7.9,7,0,71,0.6,Medium
8.3,3.5,4.2,0,3,100,0.42,Medium
6.9,5.4,6.8,0,5,100,0.44,Medium
7.5,5.7,6.2,7,5,95,0.6,Medium
5.8,5.4,10.0,1,1,100,0.53,Medium
7.2,3.7,8.0,1,1,93,0.54,Medium
6.1,7.1,9.5,7,2,77,0.62,Medium
8.1,7.4,7.8,5,1,94,0.55,Medium
6.0,8.2,5.4,6,2,98,0.4,Medium
6.8,5.7,5.4,2,1,75,0.39,Medium
6.2,4.8,5.1,3,4,87,0.43,Medium
7.6,2.7,5.3,3,1,100,0.52,Medium
7.5,9.2,9.2,0,5,83,0.45,Medium
7.0,2.8,8.3,7,5,93,0.75,High
5.9,1.7,3.4,3,5,97,0.45,Medium
5.2,1.8,7.6,7,1,90,0.66,Medium
6.6,7.9,5.1,3,0,63,0.33,Low
8.5,6.2,6.7,0,3,100,0.45,Medium
7.0,4.0,8.7,1,5,86,0.58,Medium
9.0,6.5,4.9,6,4,80,0.54,Medium
7.8,5.2,10.0,1,5,100,0.63,Medium
5.6,5.2,7.8,2,3,97,0.48,Medium
6.5,3.7,8.5,6,5,99,0.69,High
10.6,6.0,7.3,0,4,98,0.56,Medium
7.3,1.0,6.7,4,4,99,0.66,Medium
8.9,4.1,5.6,6,3,97,0.62,Medium
5.5,6.0,5.2,3,2,100,0.37,Medium
7.2,3.0,6.3,7,1,100,0.63,Medium
6.6,4.4,5.4,5,4,100,0.52,Medium
7.2,9.2,2.6,4,2,92,0.25,Low
7.6,2.7,6.3,7,4,87,0.68,High
7.4,9.7,3.3,4,3,93,0.28,Low
4.9,6.1,8.8,1,1,97,0.43,Medium
7.5,5.6,8.4,3,4,83,0.58,Medium
7.3,3.4,6.4,0,2,98,0.47,Medium
4.0,4.9,7.2,5,5,81,0.5,Medium
8.1,5.6,9.9,6,2,71,0.72,High
7.4,2.6,8.0,3,0,98,0.62,Medium
6.8,4.3,7.8,3,2,92,0.56,Medium
6.6,5.1,10.0,6,2,100,0.69,High
8.5,3.5,9.4,2,2,100,0.67,High
5.8,6.6,6.8,2,0,60,0.38,Medium
8.6,4.3,8.3,0,0,69,0.55,Medium
8.9,3.0,8.2,6,2,88,0.75,High
8.4,3.2,7.9,6,5,98,0.74,High
5.3,6.6,6.0,5,0,93,0.41,Medium
7.0,4.5,6.1,4,4,98,0.53,Medium
4.1,2.7,9.8,3,5,78,0.62,Medium
8.7,6.1,5.4,1,2,96,0.43,Medium
9.4,6.7,10.0,3,0,100,0.65,Medium
7.2,8.2,7.4,2,1,100,0.41,Medium
7.1,5.7,10.0,4,0,100,0.62,Medium
4.0,8.4,6.9,0,2,92,0.25,Low
6.5,7.6,8.6,7,3,78,0.59,Medium
7.0,6.2,7.1,1,3,100,0.44,Medium
8.0,5.7,8.5,5,3,96,0.64,Medium
7.4,1.0,7.8,3,0,77,0.65,Medium
7.9,2.9,2.0,4,4,99,0.44,Medium
7.4,3.6,6.1,2,3,74,0.51,Medium
8.5,3.1,2.2,1,1,73,0.37,Medium
7.7,2.3,7.7,2,2,99,0.61,Medium
4.3,9.0,6.0,2,3,55,0.26,Low
6.6,5.9,5.4,4,1,89,0.43,Medium
6.9,4.8,4.4,6,3,79,0.49,Medium
8.6,6.6,8.6,6,3,58,0.66,Medium
6.3,4.4,5.0,0,4,92,0.37,Medium
4.1,3.8,8.8,0,1,96,0.45,Medium
7.2,5.6,8.5,6,0,100,0.62,Medium
10.1,4.5,6.2,1,2,96,0.55,Medium
9.4,7.9,6.2,6,0,99,0.53,Medium
7.4,4.2,10.0,4,4,87,0.71,High
9.0,9.9,3.3,7,4,100,0.4,Medium
8.1,5.9,6.3,1,4,100,0.46,Medium
7.4,4.7,8.0,1,3,81,0.53,Medium
4.0,1.0,5.3,0,0,87,0.37,Medium
7.5,4.6,6.8,4,5,100,0.58,Medium
7.3,4.9,7.0,1,1,77,0.47,Medium
8.1,9.6,5.9,0,1,74,0.3,Low
7.0,8.7,3.9,7,0,86,0.37,Medium
9.5,5.9,9.0,5,1,81,0.69,High
5.5,7.0,10.0,2,3,87,0.51,Medium
7.4,5.7,7.3,1,0,75,0.45,Medium
7.6,4.8,3.8,4,3,93,0.44,Medium
11.2,4.5,2.9,4,4,97,0.54,Medium
9.2,5.9,5.3,1,4,73,0.46,Medium
9.1,5.3,6.8,1,1,97,0.51,Medium
4.5,2.7,8.3,1,5,80,0.53,Medium
8.7,4.8,8.7,4,2,100,0.66,Medium
6.6,2.7,7.2,1,0,100,0.51,Medium
8.6,5.2,10.0,3,1,71,0.67,High
8.8,8.0,8.7,5,5,82,0.63,Medium
7.2,7.1,9.8,7,0,89,0.65,Medium
4.0,1.8,6.6,5,2,78,0.54,Medium
4.5,5.0,5.7,5,4,88,0.45,Medium
5.1,1.0,5.0,1,1,92,0.43,Medium
7.5,2.5,8.2,5,5,59,0.72,High
5.1,4.0,1.0,5,2,98,0.29,Low
6.6,4.1,7.2,4,3,73,0.57,Medium
5.8,6.8,8.2,4,3,89,0.5,Medium
6.8,3.3,9.0,3,4,86,0.65,Medium
8.6,7.0,8.1,2,4,82,0.54,Medium
9.3,4.3,10.0,7,5,97,0.84,High
5.3,6.8,5.3,2,5,98,0.34,Medium
4.0,6.5,6.3,6,3,98,0.43,Medium
6.3,3.5,6.7,3,2,74,0.52,Medium
5.1,4.7,4.8,1,2,100,0.33,Low
9.2,7.3,8.3,5,3,73,0.63,Medium
5.2,6.8,9.3,4,2,96,0.52,Medium
8.3,5.4,5.5,3,3,84,0.49,Medium
8.1,6.8,5.7,7,5,85,0.57,Medium
5.2,2.8,4.3,6,4,81,0.5,Medium
5.6,3.3,7.0,1,1,93,0.46,Medium
6.2,2.3,5.9,6,5,97,0.61,Medium
6.1,6.2,8.0,1,3,75,0.45,Medium
7.5,4.8,10.0,3,1,86,0.65,Medium
5.6,4.9,6.9,0,3,96,0.4,Medium
8.5,9.2,6.1,2,3,100,0.39,Medium
8.9,8.1,8.7,5,4,82,0.62,Medium
7.6,6.5,5.6,7,2,100,0.53,Medium
8.1,5.9,7.7,1,0,100,0.49,Medium
6.4,6.0,5.9,1,0,81,0.36,Medium
6.1,5.0,9.7,4,3,69,0.62,Medium
7.0,7.2,4.1,3,5,93,0.36,Medium
6.9,6.6,9.4,2,4,96,0.55,Medium
4.0,8.6,4.4,7,3,100,0.32,Low
9.6,6.5,5.1,7,1,65,0.57,Medium
9.3,5.7,5.9,4,0,76,0.53,Medium
6.5,6.6,9.9,2,3,70,0.55,Medium
5.1,6.0,6.8,7,5,92,0.54,Medium
8.3,7.0,10.0,7,4,99,0.73,High
6.8,1.1,7.6,5,3,96,0.69,High
6.9,3.3,6.9,2,5,72,0.55,Medium
8.6,8.8,7.1,3,4,73,0.48,Medium
7.7,4.6,8.3,0,2,92,0.53,Medium
7.6,1.1,2.2,6,3,74,0.53,Medium
5.5,3.9,4.6,0,0,100,0.31,Low
5.1,4.7,4.0,4,4,93,0.38,Medium
6.9,4.1,5.6,6,5,100,0.57,Medium
5.3,4.2,9.7,3,3,78,0.6,Medium
10.0,2.8,8.4,1,3,100,0.69,High
5.8,6.0,7.8,2,3,78,0.46,Medium
6.8,5.0,3.7,6,1,87,0.44,Medium
9.1,3.2,7.8,7,4,87,0.77,High
6.9,4.7,7.6,5,1,100,0.58,Medium
4.8,4.7,5.1,5,5,88,0.45,Medium
5.7,4.0,7.7,1,4,96,0.5,Medium
7.1,5.9,7.0,1,2,74,0.44,Medium
6.7,3.8,6.2,2,4,81,0.5,Medium
6.4,5.9,3.9,6,4,81,0.43,Medium
8.0,6.4,9.1,7,1,97,0.68,High
5.7,4.7,7.6,0,4,74,0.45,Medium
6.4,7.2,5.4,5,3,83,0.42,Medium
7.5,7.0,7.8,1,3,99,0.47,Medium
6.4,6.7,7.6,4,0,69,0.48,Medium
8.2,3.8,6.7,1,4,98,0.54,Medium
6.2,9.3,4.9,1,1,53,0.23,Low
7.0,6.2,7.4,0,0,71,0.41,Medium
7.2,5.6,6.5,6,4,91,0.57,Medium
5.3,7.5,2.3,3,1,84,0.19,Low
5.4,5.1,7.4,4,1,100,0.49,Medium
6.4,6.9,3.9,4,0,87,0.33,Low
6.6,1.7,4.6,2,5,100,0.5,Medium
4.8,5.3,6.0,4,3,81,0.43,Medium
7.6,6.6,4.0,4,3,98,0.4,Medium
6.5,3.5,3.9,3,0,95,0.4,Medium
7.3,4.4,6.3,1,4,95,0.48,Medium
5.5,1.9,5.0,7,3,100,0.58,Medium
7.8,9.1,3.4,0,3,64,0.22,Low
5.4,3.3,9.1,5,3,89,0.65,Medium
9.4,8.7,6.0,0,1,99,0.37,Medium
7.3,5.4,5.2,6,1,100,0.5,Medium
8.7,3.4,3.7,2,5,100,0.48,Medium
6.1,6.2,4.3,0,5,82,0.3,Low
7.7,4.4,7.5,3,5,89,0.6,Medium
7.7,4.6,7.0,3,1,83,0.54,Medium
6.1,6.8,9.5,0,4,92,0.48,Medium
7.0,5.8,6.5,7,4,85,0.58,Medium
6.2,2.1,6.3,6,4,78,0.63,Medium
5.5,1.0,6.4,4,1,74,0.57,Medium
7.4,6.4,8.1,7,3,59,0.63,Medium
8.9,5.8,5.7,2,2,83,0.48,Medium
5.1,3.6,4.5,3,2,77,0.39,Medium
4.1,5.2,10.0,1,3,84,0.49,Medium
4.7,3.7,4.2,0,3,82,0.3,Low
8.2,5.8,7.8,6,0,94,0.62,Medium
9.1,7.0,7.5,4,0,99,0.55,Medium
5.4,6.3,8.1,3,1,77,0.46,Medium
5.5,5.0,9.3,4,4,100,0.6,Medium
9.7,10.0,6.3,2,5,76,0.43,Medium
5.4,1.8,4.2,2,1,81,0.41,Medium
4.0,5.9,7.6,3,0,78,0.4,Medium
5.1,5.8,5.4,2,2,66,0.34,Medium
5.6,6.0,9.2,3,5,92,0.55,Medium
6.9,2.8,10.0,6,4,100,0.78,High
7.1,5.3,6.1,0,5,52,0.42,Medium
9.1,5.4,7.3,3,5,100,0.6,Medium
5.2,3.1,8.2,6,4,100,0.64,Medium
7.4,4.0,7.4,6,2,100,0.64,Medium
9.6,6.2,9.4,4,2,85,0.68,High
7.8,5.7,9.0,5,1,98,0.64,Medium
8.8,6.8,6.7,2,1,100,0.48,Medium
7.9,5.1,5.6,5,0,100,0.52,Medium
7.1,7.0,10.0,6,3,97,0.66,Medium
5.8,8.0,3.5,3,3,92,0.26,Low
7.1,5.8,7.3,3,0,80,0.49,Medium
8.0,2.9,6.4,7,2,71,0.68,High
7.9,4.8,4.6,1,5,77,0.43,Medium
9.8,4.2,9.7,4,2,100,0.76,High
4.7,7.9,5.2,2,2,100,0.26,Low
9.4,6.6,6.7,7,5,96,0.65,Medium
8.1,5.3,6.8,1,3,91,0.49,Medium
6.6,6.6,9.7,2,0,96,0.52,Medium
6.6,4.1,9.0,6,5,89,0.7,High
6.6,6.8,10.0,0,3,99,0.51,Medium
6.8,7.5,5.7,6,3,85,0.46,Medium
7.2,4.8,9.8,4,5,96,0.68,High
6.6,3.3,7.8,7,4,96,0.69,High
5.3,3.6,5.5,3,1,93,0.43,Medium
8.0,5.1,10.0,6,3,98,0.74,High
6.4,5.2,7.5,2,4,100,0.5,Medium
5.0,1.9,9.3,1,2,92,0.58,Medium
5.3,6.8,8.7,6,4,55,0.56,Medium
6.2,3.4,7.2,4,4,100,0.58,Medium
6.8,2.7,7.3,6,2,89,0.65,Medium
6.8,6.0,7.5,0,1,93,0.42,Medium
7.0,7.4,6.9,4,1,92,0.46,Medium
8.6,4.4,6.2,7,5,100,0.67,High
9.5,4.6,7.1,6,2,79,0.68,High
6.8,7.1,7.8,0,4,88,0.42,Medium
6.9,5.0,5.6,5,2,79,0.5,Medium
7.4,3.4,8.5,7,4,85,0.74,High
5.8,3.6,9.4,2,5,74,0.61,Medium
4.0,10.0,7.6,1,5,60,0.28,Low
6.4,4.4,5.5,5,2,100,0.5,Medium
7.4,8.2,6.9,5,5,85,0.5,Medium
5.7,3.8,4.7,3,5,100,0.44,Medium
8.0,6.7,6.3,3,4,89,0.49,Medium
8.6,6.3,7.3,7,0,99,0.62,Medium
7.0,7.6,7.5,4,1,98,0.48,Medium
4.9,4.5,7.3,1,2,96,0.42,Medium
8.0,3.4,2.3,2,4,100,0.39,Medium
8.5,1.0,9.3,1,3,76,0.72,High
7.5,4.2,3.5,3,1,95,0.4,Medium
7.1,6.8,6.7,4,2,99,0.48,Medium
6.9,3.8,4.5,2,5,76,0.44,Medium
5.8,8.6,5.0,5,4,100,0.36,Medium
8.2,9.8,5.4,7,4,97,0.47,Medium
7.7,3.1,6.5,4,0,77,0.58,Medium
7.4,2.1,4.5,4,3,100,0.54,Medium
6.5,3.3,6.9,6,2,79,0.61,Medium
7.1,4.6,5.6,2,5,100,0.47,Medium
7.1,5.2,7.6,7,3,99,0.64,Medium
6.0,4.3,9.3,6,3,67,0.67,High
6.7,7.5,7.5,3,4,100,0.47,Medium
6.3,3.6,7.1,6,2,100,0.61,Medium
10.8,5.5,5.6,3,3,100,0.57,Medium
7.4,5.7,8.3,0,0,74,0.47,Medium
4.0,6.2,10.0,0,4,100,0.45,Medium
5.6,5.0,8.7,2,4,90,0.53,Medium
6.5,6.1,8.0,6,3,96,0.59,Medium
6.8,2.4,9.6,4,4,90,0.72,High
6.7,3.3,6.5,7,4,81,0.64,Medium
9.0,3.1,2.7,0,2,79,0.39,Medium
5.8,5.3,8.9,7,1,82,0.63,Medium
9.2,6.6,5.9,1,2,97,0.45,Medium
6.6,4.8,6.7,6,3,100,0.57,Medium
5.7,3.3,8.0,4,0,100,0.57,Medium
8.1,2.4,7.2,5,1,94,0.67,High
7.7,4.6,5.9,7,1,79,0.59,Medium
6.7,2.7,8.4,5,4,100,0.69,High
7.4,5.6,7.1,6,0,76,0.57,Medium
6.6,1.0,8.4,5,2,95,0.72,High
9.0,5.5,7.9,0,1,98,0.52,Medium
8.7,4.6,8.8,2,3,75,0.63,Medium
6.0,4.9,6.1,5,2,100,0.5,Medium
6.3,3.2,4.9,3,3,95,0.47,Medium
5.0,4.6,8.3,1,2,86,0.46,Medium
7.8,5.1,6.1,6,4,100,0.59,Medium
8.3,3.0,4.2,1,3,67,0.46,Medium
8.4,4.5,7.2,0,0,100,0.49,Medium
7.6,4.9,7.2,7,0,99,0.62,Medium
7.1,5.7,5.4,5,4,78,0.5,Medium
7.4,3.4,9.8,0,1,94,0.6,Medium
6.5,3.6,7.3,4,5,100,0.6,Medium
7.2,5.7,7.0,7,2,100,0.6,Medium
6.0,4.3,6.9,5,2,92,0.54,Medium
8.3,5.3,6.1,4,0,89,0.52,Medium
7.2,5.8,7.0,6,2,100,0.57,Medium
6.7,3.5,5.5,7,3,72,0.59,Medium
7.7,7.8,3.6,1,2,83,0.27,Low
7.0,2.4,5.6,4,3,100,0.56,Medium
8.6,3.2,5.7,5,4,92,0.63,Medium
9.2,5.0,10.0,7,4,60,0.81,High
5.6,4.1,8.2,0,3,100,0.48,Medium
6.1,5.3,7.7,1,3,89,0.46,Medium
8.2,8.1,3.3,0,4,83,0.26,Low
8.4,4.0,6.8,0,4,96,0.52,Medium
6.7,4.1,9.2,0,4,100,0.56,Medium
6.4,3.7,8.6,1,4,86,0.56,Medium
6.6,4.4,7.1,6,5,75,0.62,Medium
8.0,7.3,5.2,3,4,100,0.43,Medium
7.0,5.4,8.5,1,0,66,0.5,Medium
5.4,7.0,6.7,5,3,98,0.45,Medium
8.1,3.5,6.6,5,4,82,0.64,Medium
6.6,4.6,6.3,3,4,100,0.5,Medium
10.2,3.9,5.3,4,0,84,0.59,Medium
7.0,5.0,5.1,6,2,100,0.51,Medium
7.8,4.9,5.1,6,5,99,0.56,Medium
5.4,1.4,5.0,6,0,98,0.54,Medium
8.2,6.5,3.4,1,0,83,0.3,Low
4.5,3.1,7.7,6,1,96,0.58,Medium
6.7,3.6,5.3,3,5,80,0.5,Medium
6.4,3.3,8.5,3,3,100,0.61,Medium
9.1,4.8,7.9,3,1,95,0.61,Medium
6.7,4.4,7.4,2,2,90,0.51,Medium
8.0,3.2,6.6,1,3,76,0.54,Medium
6.9,9.2,6.7,6,5,80,0.48,Medium
5.5,2.7,4.1,6,2,93,0.49,Medium
6.8,3.3,7.3,6,0,100,0.62,Medium
9.2,5.9,3.2,3,0,93,0.39,Medium
6.7,6.8,9.6,1,4,91,0.53,Medium
8.5,3.5,10.0,4,0,96,0.73,High
4.0,6.7,6.4,4,5,95,0.39,Medium
6.2,4.4,7.2,6,0,100,0.57,Medium
9.9,2.8,9.5,2,4,99,0.76,High
8.9,3.5,4.5,3,0,100,0.5,Medium
11.1,3.5,8.1,4,3,100,0.76,High
8.0,3.5,7.8,6,0,86,0.67,High
7.0,6.5,8.7,5,0,81,0.57,Medium
10.2,6.0,3.5,6,5,78,0.54,Medium
7.6,5.8,10.0,4,5,87,0.68,High
6.9,3.9,5.8,5,3,98,0.55,Medium
6.5,7.0,6.9,3,5,100,0.46,Medium
7.2,4.4,6.7,3,2,77,0.52,Medium
6.4,5.3,8.4,4,4,97,0.58,Medium
5.8,4.1,7.2,6,2,93,0.58,Medium
7.1,1.9,8.7,3,4,100,0.69,High
9.6,8.5,4.7,4,1,94,0.42,Medium
6.0,4.6,5.3,7,4,99,0.54,Medium
5.5,5.0,5.8,5,3,70,0.47,Medium
8.2,7.2,5.2,1,5,100,0.39,Medium
6.1,4.9,10.0,7,4,83,0.72,High
7.6,10.0,6.4,7,0,85,0.45,Medium
9.0,3.2,10.0,0,0,95,0.66,Medium
9.3,4.3,6.1,7,4,100,0.68,High
6.4,5.9,9.2,3,4,85,0.57,Medium
6.3,3.1,7.6,4,5,100,0.62,Medium
7.6,3.5,8.9,1,3,100,0.61,Medium
6.7,4.4,7.0,5,4,100,0.58,Medium
7.1,4.0,7.7,0,3,100,0.51,Medium
6.6,4.7,8.7,1,4,68,0.54,Medium
8.1,3.2,7.0,5,5,98,0.67,High
8.7,1.5,8.9,0,5,100,0.69,High
5.1,8.7,2.5,3,4,91,0.19,Low
7.5,4.5,9.4,5,4,96,0.7,High
4.0,8.3,4.7,3,2,96,0.23,Low
7.1,4.9,10.0,3,2,71,0.64,Medium
6.5,6.1,7.8,1,0,50,0.43,Medium
6.4,2.9,6.3,6,0,100,0.58,Medium
8.3,7.9,5.9,4,3,92,0.46,Medium
7.8,5.3,8.2,3,0,90,0.56,Medium
4.0,6.7,7.3,6,1,80,0.45,Medium
9.6,4.0,8.3,6,3,95,0.75,High
8.2,6.0,7.6,2,3,70,0.53,Medium
7.8,5.1,7.3,4,0,99,0.56,Medium
8.5,6.3,8.4,2,3,96,0.56,Medium
8.2,5.0,5.2,0,2,81,0.41,Medium
6.3,2.2,6.5,5,5,95,0.62,Medium
5.8,5.3,9.2,0,1,83,0.47,Medium
5.9,1.2,10.0,6,0,100,0.76,High
6.0,7.6,4.3,7,2,74,0.4,Medium
10.2,7.1,5.0,0,3,89,0.41,Medium
5.8,3.9,4.1,0,0,97,0.3,Low
6.3,6.1,7.2,4,1,77,0.48,Medium
8.3,4.7,5.2,4,1,94,0.51,Medium
7.6,3.8,7.8,0,3,97,0.53,Medium
7.4,2.8,8.8,4,5,97,0.71,High
7.0,4.3,8.4,6,5,100,0.68,High
7.7,6.5,6.7,4,3,100,0.51,Medium
5.0,4.4,7.3,3,0,76,0.46,Medium
7.9,4.3,6.9,0,0,87,0.47,Medium
7.1,2.9,7.4,0,3,92,0.53,Medium
5.3,9.0,5.7,4,1,99,0.31,Low
7.7,9.4,4.5,3,2,98,0.31,Low
8.5,4.0,6.1,3,2,96,0.55,Medium
4.6,8.1,6.7,3,3,98,0.35,Medium
8.5,2.9,1.5,6,2,100,0.47,Medium
7.2,6.9,4.1,1,0,98,0.29,Low
